00:00:35:12 00:00:37:22 灵将我们整合 ＂奥地利维也纳
00:00:55:04 00:01:05:12 第四次公开讲座 1982年9月30日
00:03:30:10 00:03:35:16 我向所有追求真理的人致敬
00:53:16:09 00:53:21:07 稳定了；你安坐在船上
00:53:22:04 00:53:27:02 便会享受相同的波浪
00:53:28:03 00:53:32:03 你们就是要到达这种掌握能力
00:53:34:17 00:53:37:02 我给你另一个粗浅的比喻
00:53:37:10 00:53:41:14 但你不要想得太多
00:53:46:00 00:53:52:00 汽车有制动器和油门
00:53:57:20 00:54:04:09 我们同样有制动器和油门
00:54:06:11 00:54:12:16 驾驶者尽量平衡两者
00:54:15:04 00:54:20:14 便会成为专业的司机
00:54:21:20 00:54:25:12 他自动地驾驶
00:54:26:09 00:54:30:22 现在师傅坐在后面 – 即是灵
00:54:33:21 00:54:36:24 这专业的司机成为师傅
00:54:37:06 00:54:42:02 看着内里的司机在驾驶
00:54:48:19 00:54:52:00 当你以旁观者的身份看自己
00:54:52:09 00:54:56:23 你便不会牵涉在这笑话中
00:55:00:23 00:55:03:14 你一定见过有些小孩像这样
00:55:03:21 00:55:06:11 以第三者身份来说话
00:55:09:16 00:55:15:04 例如他们会说：「约翰不会去那里。」
00:55:16:20 00:55:20:18 今天有很多觉醒的灵在欧洲
00:55:21:02 00:55:26:06 英国和美国出生，所以我们要获得自觉
00:55:26:21 00:55:31:03 去照顾他们
00:55:38:08 00:55:43:19 有伟大的圣人在这地球出生
00:55:45:20 00:55:51:19 他们说的是能量感知这种另类语言
00:55:54:21 00:55:59:17 若他们遇上问题，会以吸吮相关的手指来表示
00:56:05:10 00:56:09:14 很多圣者想出生
00:56:10:12 00:56:13:17 但他们会避开那些不了解
00:56:13:24 00:56:19:05 不尊重，不爱护孩子的国家
00:56:24:11 00:56:27:23 所有已婚的霎哈嘉瑜伽士都会
00:56:28:05 00:56:34:14 生下伟大的圣者，了不起的人
00:56:37:20 00:56:41:07 我请你们所有人知道
00:56:41:13 00:56:43:18 复活的时候到了
00:56:44:03 00:56:48:02 审判你们的时候到了
00:56:56:21 00:56:59:13 很多人时常问我同一个问题：
00:56:59:21 00:57:02:23 「进食前先清洁自己好吗 
00:57:03:04 00:57:08:00 我们还未准备好。」
00:57:15:04 00:57:18:19 你不用审判自己
00:57:20:04 00:57:22:07 这些事情你在前世已经做过
00:57:22:16 00:57:26:12 现在不用再做了
00:57:32:03 00:57:35:03 另外，我们要知道，这个宇宙的创造者
00:57:35:11 00:57:37:14 更注重拯救
00:57:38:02 00:57:41:16 他的创造
00:57:48:09 00:57:53:04 他的每一个向度特点都忙于帮助你们
00:57:56:06 00:57:58:20 若他要拯救他的创造物
00:58:02:17 00:58:06:11 他就要拯救人类
00:58:07:09 00:58:10:12 开花结果的时候到了
00:58:10:20 00:58:14:18 很多花朵会成为果实
00:58:18:21 00:58:24:08 霎哈嘉瑜伽远古已经存在
00:58:29:19 00:58:32:09 那些获得自觉的人都是自然地得到的
00:58:32:17 00:58:35:11 没有其他途径
00:58:39:09 00:58:45:11 就如每一颗种子都是靠这活生生的力量发芽
00:58:48:13 00:58:51:00 生命之树开始时
00:58:51:07 00:58:53:07 只有一两朵花朵
00:58:56:02 00:59:00:10 但今天却有很多很多花朵
00:59:01:10 00:59:05:15 所以这是大规模的事件
00:59:08:04 00:59:11:01 你们很多人曾与我一起到印度
00:59:11:09 00:59:14:06 见过数千人获得自觉
00:59:21:09 00:59:23:01 因为乡村的人
00:59:23:13 00:59:27:04 没有那么复杂
00:59:29:04 00:59:36:20 这也会在这个地球上很多人身上发生
00:59:38:18 00:59:40:14 一名女访问员问我：
00:59:40:21 00:59:45:19 「没有见过你的人怎样得到自觉？」
00:59:50:14 00:59:53:05 很简单，我在香港时
00:59:53:15 00:59:57:11 电视台的女老板叫我站起来
00:59:57:18 01:00:01:21 给人们生命能量
01:00:10:15 01:00:13:24 在这个可怕繁忙的城市，很多人通过
01:00:14:05 01:00:19:17 电视得到自觉
01:00:21:19 01:00:25:00 科学有很多发明，如照相机
01:00:25:15 01:00:32:08 它能拍下有能量的照片
01:00:37:15 01:00:41:12 在今天，有很多方法让我们能以
01:00:41:20 01:00:44:13 比基督或任何人更快的途径
01:00:44:20 01:00:48:19 传扬散播它
01:00:53:10 01:00:59:05 尽管如此，要传扬它仍是很困难，因为它变得…
01:01:02:07 01:01:06:11 人们喜欢方便型的瑜伽
01:01:10:05 01:01:12:20 若你叫他们倒立，他们很乐意
01:01:16:21 01:01:19:07 但若你只告诉他们：「你要把手放好」
01:01:19:15 01:01:23:07 他们就是不明白
01:01:24:10 01:01:29:12 世上一切重要的事情
01:01:29:20 01:01:33:13 却都是很简单
01:01:37:19 01:01:40:24 除了你的进化，你的呼吸，你看东西之外
01:01:41:05 01:01:45:07 一切都是那么简单
01:01:49:05 01:01:53:12 因为它很重要，所以它要简单
01:01:55:01 01:02:00:13 那些要霎哈嘉瑜伽能与他们的思维有很多共通之处的人
01:02:00:23 01:02:06:00 很难接受霎哈嘉瑜伽
01:02:11:12 01:02:14:03 我不是说你要关闭脑袋，又或相反
01:02:14:10 01:02:18:20 完全开放
01:02:19:17 01:02:23:15 要逻辑地得出结论
01:02:26:15 01:02:29:16 并非盲目的
01:02:29:23 01:02:32:15 不是盲目的相信
01:02:33:04 01:02:36:11 一旦你得出逻辑的结论
01:02:36:22 01:02:40:09 你便不能依赖这有限的脑袋
01:02:46:05 01:02:50:08 因为你已经进入无限
01:02:52:19 01:02:58:04 为此我们要放弃这种有限
01:03:00:21 01:03:08:21 一旦你得到开悟，一切都变得合情合理
01:03:10:01 01:03:13:13 你能验证一切
01:03:15:03 01:03:18:05 它是很简单，就像我们不能
01:03:18:13 01:03:21:16 与失明人谈各种颜色。我们只需说：
01:03:21:23 01:03:26:19 「好吧，张开眼睛，你就能看见。」
01:03:34:01 01:03:39:18 获得自觉就是那么简单
01:03:43:03 01:03:45:15 不危险
01:03:46:15 01:03:48:19 也不会出问题
01:03:49:23 01:03:51:14 愿神祝福你们！
01:03:51:23 01:03:54:05 今天是最后一天
01:03:54:14 01:03:59:06 非常感谢你们给我机会
01:03:59:15 01:04:02:21 与你们一起；那么伟大的求道者
01:04:03:17 01:04:08:07 我明年必定会再来
01:04:22:22 01:04:25:17 即使你今天未获得自觉
01:04:26:01 01:04:29:18 你们全都会得到它。我们会在这里开设一个中心
01:04:30:08 01:04:36:09 已有跟进的聚会
01:04:46:01 01:04:49:13 因为是免费的
01:04:49:22 01:04:54:23 你们在维也纳和奥地利要自己组织统筹
01:05:01:22 01:05:04:19 你们自己要小心
01:05:06:15 01:05:13:15 你们可以写下你们的问题寄到伦敦给我
01:05:16:24 01:05:18:22 愿神祝福你们！
01:05:19:08 01:05:21:23 今天是最后一天，若有需要
01:05:22:04 01:05:24:22 你们可以花五分钟时间发问
01:05:25:11 01:05:29:18 但最好还是取得自觉
01:06:01:13 01:06:05:03 你们可以来楼梯前
01:07:49:04 01:07:50:23 我想一些人可以过来
01:07:50:23 01:07:54:19 因为还有人进来
01:08:07:04 01:08:09:04 请来这边
01:08:11:18 01:08:14:21 不要站在门前，来这边
01:08:37:13 01:08:40:24 我说过这是你自己的
01:08:41:07 01:08:44:19 是你们的资产
01:08:50:11 01:08:56:04 就像点燃了的灯能点亮另一盏灯
01:09:00:14 01:09:05:03 没有任何责任
01:09:07:07 01:09:11:03 像我的手指痛，我擦擦它
01:09:11:11 01:09:14:05 我的手指没有责任
01:09:14:21 01:09:19:24 正如你们不是其他，没有其他人能代替我
01:09:20:07 01:09:25:16 若我按摩手指，使它舒适一点
01:09:26:05 01:09:31:19 是没有任何责任，就做吧
01:09:46:12 01:09:52:03 现在，无论我告诉你们什么，请聆听我
01:09:52:12 01:09:56:03 与我合作，就是如此
01:10:02:02 01:10:06:08 首先你要知道，你要有愉快的
01:10:07:04 01:10:09:01 性格
01:10:09:09 01:10:13:21 没什么值得认真严肃或无聊轻挑的去对待
01:10:14:05 01:10:16:18 只要兴高采烈，因为你们现在要获得
01:10:17:02 01:10:21:09 最后的升进
01:10:38:20 01:10:43:03 现在，双手很放松地向着我
01:10:43:12 01:10:46:23 放在大腿上。但首先
01:10:47:06 01:10:49:05 要脱下鞋子
01:10:49:17 01:10:52:23 因为它们很紧
01:10:53:22 01:10:58:08 令你不能与大地之母有任何接触联系
01:11:22:24 01:11:28:13 若你的颈或腰有东西束得紧
01:11:28:20 01:11:32:19 若有很紧的东西，就要把它放松
01:11:32:19 01:11:35:23 即是说你要感到舒适
01:11:43:24 01:11:47:05 又或若有很重的颈链之类的
01:11:47:24 01:11:51:05 一些压在轮穴上的东西
01:11:51:05 01:11:55:00 因为它是精微的东西
01:12:09:04 01:12:13:06 你甚至可以摘下眼镜 – 会没问题
01:12:29:23 01:12:31:19 现在每个人都要做
01:12:32:02 01:12:36:21 不想做的人要离开
01:12:42:07 01:12:44:04 大家都闭上眼睛
01:12:44:13 01:12:47:08 若有人保持眼睛张开，会影响生命能量
01:12:47:16 01:12:51:07 因此为各人的利益着想
01:12:51:14 01:12:54:17 我要求你离开
01:13:05:00 01:13:08:00 你要对自己好些
01:13:11:11 01:13:16:06 现在请闭上眼睛
01:13:20:03 01:13:26:15 不要放注意力
01:13:27:07 01:13:31:06 在任何地方，只管放松
01:13:43:03 01:13:45:10 完全不用把注意力
01:13:45:20 01:13:47:09 放在任何地方
01:13:47:18 01:13:49:16 只管把注意力完全放松
01:13:50:02 01:13:53:20 让它想，让它做它喜爱的
01:13:57:19 01:14:01:18 不要有任何压力 – 现在此刻
01:14:04:06 01:14:08:15 你应该知道你的左手
01:14:09:03 01:14:15:02 是代表愿望的力量
01:14:22:00 01:14:26:16 右手是行动的力量
01:14:31:22 01:14:34:23 我们要用右手来行动
01:14:35:09 01:14:41:11 左手向着我，轻微伸展手指
01:14:49:22 01:14:54:10 手十分放松
01:15:05:07 01:15:10:01 现在右手，像我说过，我们首先要
01:15:10:09 01:15:14:06 由脑袋拿走这所谓内疚的东西
01:15:14:15 01:15:22:00 所以手要放在颈
01:15:22:12 01:15:25:10 前方的左边
01:15:38:10 01:15:40:20 但不要张开眼睛，左手保持 
01:15:41:03 01:15:45:16 张开向着我
01:15:48:13 01:15:51:01 在大腿上
01:15:52:04 01:15:54:10 放好后说：
01:15:54:17 01:15:59:09 「母亲，我并无内疚感。」
01:16:02:02 01:16:07:12 请重复说：「母亲，我并无内疚感。」
01:16:13:17 01:16:17:04 这是十分重要，因为这是西方国家
01:16:17:11 01:16:21:24 其中一个大问题
01:17:06:12 01:17:12:09 把右手放在心上
01:17:20:16 01:17:21:15 全心
01:17:27:14 01:17:30:12 全意说：
01:17:30:20 01:17:37:08 「母亲，我是否一个灵？」
01:17:37:15 01:17:43:07 问三次
01:17:58:04 01:18:02:00 在心上 – 高一点
01:18:02:14 01:18:05:22 心是高一点的，对了
01:18:07:07 01:18:10:01 问三次
01:18:10:16 01:18:14:13 因为你正是灵，只问问题
01:18:39:22 01:18:44:19 请把右手放在
01:18:45:02 01:18:47:22 腹部的左边
01:18:53:10 01:18:59:01 问：「母亲，我是否自己的导师？」
01:19:12:05 01:19:14:23 请说十次。问：
01:19:23:16 01:19:25:21 「我是否自己的导师？」
01:19:26:05 01:19:28:22 若你有跟随灵性导师之类，有思想制约
01:19:29:06 01:19:30:17 它们会马上消失
01:19:31:00 01:19:34:23 因为你是自己的导师
01:19:45:00 01:19:48:01 你根本不需要任何导师
01:19:49:18 01:19:54:16 当你成为导师，你完全不需要任何导师
01:19:56:24 01:20:00:19 所有要充满信心地问
01:20:17:13 01:20:20:24 她叫什么名字？
01:20:21:20 01:20:24:00 看，这就是负面能量，为什么需要这样？
01:20:24:12 01:20:29:06 在这里，妻子不会被杀
01:20:30:01 01:20:33:04 他们就是这样作出攻击，明白吗？
01:20:33:16 01:20:38:13 走吧。叫你的丈夫要检点
01:20:39:21 01:20:43:21 你不能打扰，明白吗。让她走吧
01:20:44:04 01:20:45:19 就是这样，他们甚至不文明
01:20:46:01 01:20:51:03 他们不是文明人，怎能获得自觉？
01:20:51:14 01:20:54:07 十分不文明
01:20:54:16 01:20:56:19 好了，没关系
01:20:57:02 01:20:59:15 宽恕、宽恕、宽恕
01:21:04:14 01:21:06:20 再把右手
01:21:06:20 01:21:12:16 放在腹部的左边。说十次：
01:21:12:24 01:21:16:11 「母亲，我是自己的导师。」
01:22:24:12 01:22:26:14 请再说：
01:22:27:01 01:22:33:19 「我唯一的愿望就是成为灵
01:22:39:19 01:22:45:04 我的纯粹愿望就是成为灵
01:22:50:02 01:22:58:16 成为自己的存在体，成为真我
01:22:59:10 01:23:03:21 成为绝对
01:23:12:02 01:23:16:10 让它彰显吧。」
01:23:46:22 01:23:49:15 把右手再放在心上
01:23:54:23 01:23:57:20 说：「母亲，我是一个灵。」
01:23:58:04 01:24:00:13 充满信心地说你是，相信我
01:24:00:22 01:24:05:03 脚垂直放在大地之母上，垂直
01:24:05:10 01:24:10:13 接触着大地，你看，不要把脚向前伸
01:24:14:14 01:24:17:13 坐在地上的人没问题
01:24:17:20 01:24:20:10 他们不用担心
01:24:23:22 01:24:28:07 现在把手放在心上说：
01:24:28:14 01:24:32:02 「母亲，我是一个灵。」
01:24:32:10 01:24:36:00 说十二次
01:25:12:18 01:25:14:03 不要感到内疚
01:25:14:14 01:25:18:04 这是你们唯一的障碍
01:25:18:11 01:25:20:06 你们说时全都感到内疚
01:25:20:13 01:25:26:18 要有信心，我是说你们是一个灵
01:25:32:05 01:25:34:20 为什么要审判自己？
01:25:37:19 01:25:40:21 让上天审判你
01:25:47:09 01:25:50:03 只管说
01:26:01:07 01:26:04:13 没有内疚感
01:26:12:17 01:26:14:23 好了，没有内疚的说：
01:26:15:12 01:26:20:01 「若我犯了任何错，请原谅我。」
01:26:20:13 01:26:21:16 你可以对神这样说：
01:26:21:24 01:26:23:18 「神啊，若我犯了任何错
01:26:24:00 01:26:25:01 请原谅我。」
01:26:25:01 01:26:26:06 没有内疚感
01:26:26:16 01:26:31:00 我这样说是为了带走你的罪疚感
01:26:57:07 01:26:58:14 好了点
01:27:08:08 01:27:12:12 好了点。仍有一点
01:27:14:13 01:27:21:18 现在请再把右手放在左边肩膀
01:27:22:06 01:27:25:21 接近颈的地方
01:27:29:12 01:27:33:20 再说，请再说十六次：
01:27:34:04 01:27:35:12 「母亲，我并无内疚感。」
01:27:35:21 01:27:38:19 请这样说。
01:27:52:03 01:27:56:07 不要自怜，而是充满信心
01:28:15:06 01:28:17:04 好了
01:28:52:13 01:28:55:19 现在把右手
01:28:56:06 01:28:59:21 横放在前额按着它
01:29:05:02 01:29:12:08 用手按着 - 横向
01:29:17:12 01:29:18:11 说：
01:29:23:03 01:29:28:08 「母亲，我宽恕所有人。」
01:30:01:01 01:30:03:03 好多了
01:30:04:18 01:30:09:05 把手放在头顶，在脑囟
01:30:09:14 01:30:16:17 即你小时软骨的位置
01:30:26:12 01:30:30:11 感觉头的
01:30:30:19 01:30:32:10 中部的厚度
01:30:32:17 01:30:38:00 向后，向前，按着它
01:30:44:10 01:30:46:12 你可以用手的底部按着它
01:30:46:22 01:30:51:04 你可以用手的底部按着它
01:31:01:04 01:31:05:15 尝试按着它，你可以自己做
01:31:07:23 01:31:10:10 用手的底部，用手的底部
01:31:11:17 01:31:14:05 现在，很好
01:31:39:18 01:31:42:04 现在把手放在头顶，看看
01:31:42:12 01:31:45:20 有没有凉风出来
01:31:49:00 01:31:54:21 你要说：「母亲，我想得到自觉」
01:31:55:11 01:31:58:04 因为我不能干涉你们的自由
01:31:58:12 01:32:01:16 你们要自己要求
01:32:29:07 01:32:33:13 你可以换另一只手
01:32:34:00 01:32:37:05 把手放在大腿上向着我
01:32:37:13 01:32:41:20 左手在头上
01:32:50:03 01:32:54:24 上下移动看看有没有凉风
01:33:09:07 01:33:12:20 你可以换另一只手去试试
01:33:18:01 01:33:20:13 若这里有记者
01:33:20:22 01:33:23:23 我请他们先获得自觉
01:33:24:08 01:33:29:06 否则他们不应发表任何文章
01:33:36:02 01:33:41:05 因为没有自觉，你是不能明白理解霎哈嘉瑜伽
01:33:43:17 01:33:46:08 霎哈嘉瑜伽并非表面的东西
01:33:49:00 01:33:54:09 你们要得到自觉。否则你会扰乱
01:33:55:16 01:33:59:15 或阻碍…或你可以说，误导其他
01:34:00:00 01:34:02:19 求道者
01:34:17:21 01:34:22:19 现在好一点。很多人都获得了。
01:34:54:19 01:34:58:15 现在双手向着我
01:35:03:00 01:35:07:11 看看有没有凉风
01:35:09:16 01:35:13:06 从你的手出来，别张开眼睛
01:35:15:23 01:35:20:13 颈保持直
01:36:52:03 01:36:55:00 若你感到凉风，很好
01:36:55:09 01:36:59:13 感觉不到也不要紧
01:36:59:19 01:37:01:12 眼睛请…
01:37:01:19 01:37:06:07 我会告诉你们怎样提升灵量
01:37:20:24 01:37:23:22 要没有思维地看着我
01:37:23:22 01:37:25:08 手向着我
